dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
24-03-2016 11:52,Golf_3_1.6,privat,Angebot,480,test,,1993,manual,0,golf,150000,0,petrol,volkswagen,,24-03-2016 00:00,0,70435,07-04-2016 03:16
24-03-2016 10:58,A5_Sportback_2.7_Tdi,privat,Angebot,18300,test,coupe,2011,manual,190,,125000,5,diesel,audi,yes,24-03-2016 00:00,0,66954,07-04-2016 01:46
14-03-2016 12:52,"Jeep_Grand_Cherokee_""Overland""",privat,Angebot,9800,test,suv,2004,automatic,163,grand,125000,8,diesel,jeep,,14-03-2016 00:00,0,90480,05-04-2016 12:47
17-03-2016 16:54,GOLF_4_1_4__3TÜRER,privat,Angebot,1500,test,kleinwagen,2001,manual,75,golf,150000,6,petrol,volkswagen,no,17-03-2016 00:00,0,91074,17-03-2016 17:40
31-03-2016 17:25,Skoda_Fabia_1.4_TDI_PD_Classic,privat,Angebot,3600,test,kleinwagen,2008,manual,69,fabia,90000,7,diesel,skoda,no,31-03-2016 00:00,0,60437,06-04-2016 10:17
04-04-2016 17:36,BMW_316i___e36_Limousine___Bastlerfahrzeug__Export,privat,Angebot,650,test,limousine,1995,manual,102,3er,150000,10,petrol,bmw,yes,04-04-2016 00:00,0,33775,06-04-2016 19:17
01-04-2016 20:48,Peugeot_206_CC_110_Platinum,privat,Angebot,2200,test,cabrio,2004,manual,109,2_reihe,150000,8,petrol,peugeot,no,01-04-2016 00:00,0,67112,05-04-2016 18:18
21-03-2016 18:54,VW_Derby_Bj_80__Scheunenfund,privat,Angebot,0,test,limousine,1980,manual,50,andere,40000,7,petrol,volkswagen,no,21-03-2016 00:00,0,19348,25-03-2016 16:47
04-04-2016 23:42,Ford_C___Max_Titanium_1_0_L_EcoBoost,privat,Angebot,14500,control,bus,2014,manual,125,c_max,30000,8,petrol,ford,,04-04-2016 00:00,0,94505,04-04-2016 23:42
17-03-2016 10:53,VW_Golf_4_5_tuerig_zu_verkaufen_mit_Anhaengerkupplung,privat,Angebot,999,test,kleinwagen,1998,manual,101,golf,150000,0,,volkswagen,,17-03-2016 00:00,0,27472,31-03-2016 17:17
26-03-2016 19:54,Mazda_3_1.6_Sport,privat,Angebot,2000,control,limousine,2004,manual,105,3_reihe,150000,12,petrol,mazda,no,26-03-2016 00:00,0,96224,06-04-2016 10:45
07-04-2016 10:06,Volkswagen_Passat_Variant_2.0_TDI_Comfortline,privat,Angebot,2799,control,kombi,2005,manual,140,passat,150000,12,diesel,volkswagen,yes,07-04-2016 00:00,0,57290,07-04-2016 10:25
15-03-2016 22:49,"VW_Passat_Facelift_35i__""7Sitzer""",privat,Angebot,999,control,kombi,1995,manual,115,passat,150000,11,petrol,volkswagen,,15-03-2016 00:00,0,37269,01-04-2016 13:16
21-03-2016 21:37,VW_PASSAT_1.9_TDI_131_PS_LEDER,privat,Angebot,2500,control,kombi,2004,manual,131,passat,150000,2,,volkswagen,no,21-03-2016 00:00,0,90762,23-03-2016 02:50
21-03-2016 12:57,Nissan_Navara_2.5DPF_SE4x4_Klima_Sitzheizg_Bluetooth.Doppelkabine,privat,Angebot,17999,control,suv,2011,manual,190,navara,70000,3,diesel,nissan,no,21-03-2016 00:00,0,4177,06-04-2016 07:45
11-03-2016 21:39,KA_Lufthansa_Edition_450€_VB,privat,Angebot,450,test,kleinwagen,1910,,0,ka,5000,0,petrol,ford,,11-03-2016 00:00,0,24148,19-03-2016 08:46
01-04-2016 12:46,Polo_6n_1_4,privat,Angebot,300,test,,2016,,60,polo,150000,0,petrol,volkswagen,,01-04-2016 00:00,0,38871,01-04-2016 12:46
20-03-2016 10:25,Renault_Twingo_1.2_16V_Aut.,privat,Angebot,1750,control,kleinwagen,2004,automatic,75,twingo,150000,2,petrol,renault,no,20-03-2016 00:00,0,65599,06-04-2016 13:16
23-03-2016 15:48,Ford_C_MAX_2.0_TDCi_DPF_Titanium,privat,Angebot,7550,test,bus,2007,manual,136,c_max,150000,6,diesel,ford,no,23-03-2016 00:00,0,88361,05-04-2016 18:45
01-04-2016 22:55,Mercedes_Benz_A_160_Classic_Klima,privat,Angebot,1850,test,bus,2004,manual,102,a_klasse,150000,1,petrol,mercedes_benz,no,01-04-2016 00:00,0,49565,05-04-2016 22:46
01-04-2016 19:56,Volkswagen_Scirocco_1.4_TSI_Sport,privat,Angebot,10400,control,coupe,2009,manual,160,scirocco,100000,4,petrol,volkswagen,no,01-04-2016 00:00,0,75365,05-04-2016 16:45
27-03-2016 11:38,BMW_530i_TÜV_7/17_Scheckheftgepflegt_sehr_guter_Zustand,privat,Angebot,3699,test,limousine,2002,automatic,231,5er,150000,7,petrol,bmw,no,27-03-2016 00:00,0,68309,07-04-2016 06:44
23-03-2016 14:52,Opel_Meriva_1.Hand_TÜV_3.2018,privat,Angebot,2900,test,,2018,manual,90,meriva,150000,5,petrol,opel,no,23-03-2016 00:00,0,49716,31-03-2016 01:16
12-03-2016 19:43,Stadtflitzer,privat,Angebot,450,test,kleinwagen,1997,manual,50,arosa,150000,5,petrol,seat,no,12-03-2016 00:00,0,9526,21-03-2016 01:46
13-03-2016 20:40,MERCEDES_200E__TÜV_04/2016,privat,Angebot,500,test,limousine,1990,manual,118,andere,150000,10,petrol,mercedes_benz,yes,13-03-2016 00:00,0,35390,13-03-2016 20:40
18-03-2016 21:44,BMW_530d_touring_Vollausstattung_NAVI,privat,Angebot,2500,control,kombi,2002,automatic,193,5er,150000,9,diesel,bmw,yes,18-03-2016 00:00,0,73765,18-03-2016 21:44
10-03-2016 19:38,Citroen_C4_Grand_Picasso.,privat,Angebot,5555,control,,2017,manual,125,c4,125000,4,,citroen,no,10-03-2016 00:00,0,31139,16-03-2016 09:16
07-03-2016 12:51,Honda_Civic_1.4_i_VTEC_Comfort,privat,Angebot,6900,test,limousine,2008,manual,99,civic,60000,11,petrol,honda,no,07-03-2016 00:00,0,12621,26-03-2016 09:44
09-03-2016 11:56,Volkswagen_T3_andere,privat,Angebot,1990,test,bus,1981,manual,50,transporter,5000,1,petrol,volkswagen,no,09-03-2016 00:00,0,87471,10-03-2016 07:44
08-03-2016 19:55,Fiat_Punto_1.2,privat,Angebot,690,test,kleinwagen,2003,manual,60,punto,150000,3,petrol,fiat,no,08-03-2016 00:00,0,86199,09-03-2016 11:45
03-04-2016 15:48,Mercedes_Benz_E_250_D_Original_Zustand_!!,privat,Angebot,3300,test,limousine,1995,automatic,113,e_klasse,150000,1,diesel,mercedes_benz,no,03-04-2016 00:00,0,53879,05-04-2016 15:16
29-03-2016 16:57,Renault_clio_1.2_TÜV_07/2016,privat,Angebot,899,control,,2016,manual,60,clio,150000,6,petrol,renault,,29-03-2016 00:00,0,37075,29-03-2016 17:43
