Manufacturer,Model,City,Fueltype,kms,color,pwr_steering,man_year,price
Fiat, Punto Evo Dynamic Multijet 1.3 ,Pune,Diesel,"54,000 KM",Grey,Yes,2015,"5,25,000"
Hyundai, Verna Fluidic 1.6 CRDI SX Opt ,Pune,Diesel,"45,000 KM",White,Yes,2017,"12,00,000"
Toyota, Innova 2.5 VX 8 STR ,Pune,Diesel,"1,02,000 KM",Gold,Yes,2015,"13,50,000"
Volkswagen, Vento 1.6L MT Comfortline Petrol ,Pune,Petrol,"15,000 KM",Silver,Yes,2017,"7,65,000"
Hyundai, i20 Asta 1.2 (O) ,Pune,Petrol,"38,000 KM",Bronze,Yes,2013,"4,41,000"
Hyundai, Creta SX(O) 1.6 CRDI VGT ,Pune,Diesel,"81,000 KM",White,Yes,2015,"11,31,000"
Toyota, Corolla Altis 1.8G L ,Pune,Petrol,"75,000 KM",White,Yes,2009,"3,25,000"
Hyundai, Santro Xing GLS ,Pune,Petrol,"70,000 KM",Gold,Yes,2007,"1,15,000"
Nissan, Micra XV Diesel ,Pune,Diesel,"90,000 KM",White,Yes,2011,"2,75,000"
Hyundai, i20 1.4L Sportz Diesel ,Pune,Diesel,"1,02,000 KM",White,Yes,2011,"3,25,000"
Honda, Civic 1.8V MT ,Pune,Petrol,"80,000 KM",Grey,Yes,2009,"2,75,000"
Maruti Suzuki, Swift VXi ,Pune,Petrol,"35,000 KM",Grey,Yes,2014,"4,00,000"
Honda, Brio V MT ,Pune,Petrol,"30,000 KM",White,Yes,2013,"3,25,000"
Renault, Scala RxZ Diesel ,Pune,Diesel,"20,000 KM",Black,Yes,2013,"4,75,000"
Volkswagen, Vento 1.6L MT Highline Petrol ,Pune,Petrol,"48,000 KM",White,Yes,2014,"5,50,000"
Tata, Indica V2 DLS BS III ,Pune,Diesel,"92,000 KM",Silver,Yes,2006,"1,00,000"
Tata, Nano Twist XT ,Pune,Petrol,"22,000 KM",White,Yes,2016,"1,50,000"
Honda, BR-V S (Petrol) ,Pune,Petrol,"1,300 KM",Grey,Yes,2018,"9,60,000"
Honda, City 2014 SV 1.5L i-VTEC CVT ,Pune,Petrol,"72,000 KM",Silver,Yes,2015,"6,75,000"
Nissan, Micra XV Diesel ,Pune,Diesel,"95,100 KM",Orange,Yes,2011,"2,75,000"
Maruti Suzuki, Swift Dzire VXi ,Pune,Petrol,"31,000 KM",Gold,Yes,2009,"2,75,000"
Mahindra, Xylo E9 ,Pune,Diesel,"84,000 KM",White,Yes,2013,"5,75,000"
Hyundai, i20 Asta 1.2 (O) ,Pune,Petrol,"42,000 KM",Silver,Yes,2013,"5,10,000"
Volkswagen, Vento 1.6L MT Highline Diesel ,Pune,Diesel,"37,000 KM",White,Yes,2014,"6,35,000"
